All/313_Left Mid 2_Bend_N105_JCM,0,,Left Mid 2,,,-105,,,
All/314_Left Mid 2_Bend_N90_JCM,0,,Left Mid 2,,,-90,,,
All/315_Left Mid 2_Bend_N75_JCM,0,,Left Mid 2,,,-75,,,
All/316_Left Mid 2_Bend_N60_JCM,0,,Left Mid 2,,,-60,,,
All/317_Left Mid 2_Bend_N45_JCM,0,,Left Mid 2,,,-45,,,
All/318_Left Mid 2_Bend_N30_JCM,0,,Left Mid 2,,,-30,,,
All/319_Left Mid 2_Bend_N16_JCM,0,,Left Mid 2,,,-16,,,
All/320_Left Mid 2_Bend_N2_JCM,0,,Left Mid 2,,,-2,,,
All/321_Left Mid 3_Bend_20,0,,Left Mid 3,,,20,,,
All/322_Left Mid 3_Bend_N90_JCM,0,,Left Mid 3,,,-90,,,
All/323_Left Mid 3_Bend_N76_JCM,0,,Left Mid 3,,,-76,,,
All/324_Left Mid 3_Bend_N62_JCM,0,,Left Mid 3,,,-62,,,
All/325_Left Mid 3_Bend_N48_JCM,0,,Left Mid 3,,,-48,,,
All/326_Left Mid 3_Bend_N34_JCM,0,,Left Mid 3,,,-34,,,
All/327_Left Mid 3_Bend_N20_JCM,0,,Left Mid 3,,,-20,,,
All/328_Left Mid 3_Bend_N6_JCM,0,,Left Mid 3,,,-6,,,
All/329_Left Mid 3_Bend_7,0,,Left Mid 3,,,7,,,
All/330_Left Carpal 3_Side_3,0,,Left Carpal 3,,3,,,,
All/331_Left Carpal 3_Side_N3,0,,Left Carpal 3,,-3,,,,
All/332_Left Carpal 3_Bend_4,0,,Left Carpal 3,,,4,,,
All/333_Left Carpal 3_Bend_N4,0,,Left Carpal 3,,,-4,,,
All/334_Left Ring 1_Twist_5,0,,Left Ring 1,5,,,,,
All/335_Left Ring 1_Twist_N5,0,,Left Ring 1,-5,,,,,
All/336_Left Ring 1_Side_12,0,,Left Ring 1,,12,,,,
All/337_Left Ring 1_Side_N12,0,,Left Ring 1,,-12,,,,
All/338_Left Ring 1_Bend_50,0,,Left Ring 1,,,50,,,
All/339_Left Ring 1_Bend_N90_JCM,0,,Left Ring 1,,,-90,,,
All/340_Left Ring 1_Bend_N72_JCM,0,,Left Ring 1,,,-72,,,
All/341_Left Ring 1_Bend_N54_JCM,0,,Left Ring 1,,,-54,,,
All/342_Left Ring 1_Bend_N36_JCM,0,,Left Ring 1,,,-36,,,
All/343_Left Ring 1_Bend_N18_JCM,0,,Left Ring 1,,,-18,,,
All/344_Left Ring 1_Bend_N1_JCM,0,,Left Ring 1,,,-1,,,
All/345_Left Ring 1_Bend_16,0,,Left Ring 1,,,16,,,
All/346_Left Ring 1_Bend_33,0,,Left Ring 1,,,33,,,
All/347_Left Ring 2_Bend_12,0,,Left Ring 2,,,12,,,
All/348_Left Ring 2_Bend_N105_JCM,0,,Left Ring 2,,,-105,,,
All/349_Left Ring 2_Bend_N90_JCM,0,,Left Ring 2,,,-90,,,
